64,4,FALSE,46
65,1,Unknown,0
65,2,Daylight,0
65,3,Med2-3,0
65,4,TRUE,9
66,1,Unknown,0
66,2,Daylight,0
66,3,High3-6,0
66,4,FALSE,3
67,1,Unknown,0
67,2,Dusk,0
67,3,Low0-1,0
67,4,FALSE,36
68,1,Unknown,0
68,2,Dusk,0
68,3,Low0-1,0
68,4,TRUE,9
69,1,Unknown,0
69,2,Dusk,0
69,3,High3-6,0
69,4,FALSE,1
70,1,Unknown,0
70,2,Unknown,0
70,3,Low0-1,0
70,4,FALSE,17
71,1,Unknown,0
71,2,Unknown,0
71,3,Low0-1,0
71,4,TRUE,7
72,1,Unknown,0
72,2,Unknown,0
72,3,Med2-3,0
72,4,FALSE,3
73,1,Windy,0
73,2,Dark,0
73,3,Low0-1,0
73,4,FALSE,1
74,1,Windy,0
74,2,Daylight,0
74,3,Low0-1,0
74,4,FALSE,3
75,1,Windy,0
75,2,Daylight,0
75,3,Med2-3,0
75,4,FALSE,1
