State,Male,Female,Age16-30,Age30-50,Age50-70
TX,3565,1172,1610,1688,1088
CA,3244,984,1524,1396,1026
FL,2953,1061,1350,1261,998
GA,1461,544,606,684,532
NC,1374,542,568,651,497
NY,1100,362,439,488,385
PA,1235,412,462,545,460
OH,1197,412,499,514,420
MI,1028,380,465,455,352
SC,1014,368,444,464,378
