i,ev
1,51615.24522557936
2,49201.227721085954
3,47878.78612363719
4,46399.82745693998
5,45128.12570951262
6,44276.67078137212
7,43038.104994083136
8,42360.17586325416
9,41677.58751544511
10,41278.79859393429
