i,ev
0,1358980.50569
1,841738.965763
2,245283.209688
3,123238.937348
4,47277.2763592
5,9558.42312361
6,1788.32182387
7,330.156148943
8,96.0318466132
9,32.5130547019
10,18.4386286517
11,0.803343619335
12,1.18527226802e-05
13,1.27297852526e-13
14,0.0
15,0.0
16,0.0
17,0.0
