State,PERMVIT,COUNTY,CITY,DAY,MONTH,DAY_WEEK,HOUR,MINUTE,LGT_COND,WEATHER,DRUNK_DR,FATALS
1,2,59,3130,22,5,6,16,55,1,1,0,1
1,1,113,2440,20,5,4,22,7,3,1,0,1
1,4,15,2370,27,5,4,5,25,4,10,0,1
1,2,97,690,26,5,3,14,15,1,1,0,1
1,2,73,350,25,5,2,15,5,1,10,0,1
1,1,3,1493,27,5,4,9,0,1,10,0,1
1,3,89,1730,29,5,6,20,17,3,10,1,1
1,3,9,2811,29,5,6,22,16,3,1,0,1
1,3,73,350,31,5,1,18,48,1,10,1,1
1,2,89,1730,4,6,5,3,29,6,10,0,1
1,4,97,2716,15,6,2,21,52,2,1,1,1
1,1,3,1210,28,4,3,20,10,2,10,0,1
1,7,115,2410,30,5,7,14,36,1,1,0,1
1,2,67,10,1,6,2,7,10,1,5,0,1
1,1,103,1130,2,6,3,21,10,3,1,0,1
1,1,33,2190,5,6,6,3,28,2,1,0,1
1,2,71,2850,6,6,7,19,32,1,1,0,1
1,1,101,2130,8,6,2,5,20,4,99,0,1
1,1,69,930,11,6,5,15,57,1,10,0,1
1,2,101,2130,14,6,1,2,55,3,1,0,1
1,2,97,2713,12,6,6,1,15,2,10,1,1
1,4,13,1460,14,6,1,2,23,3,1,2,1
1,7,97,2100,6,6,7,20,30,2,10,1,1
1,5,73,350,14,6,1,4,21,2,1,0,2
1,1,125,3050,20,6,7,8,15,1,10,0,1
1,1,73,330,21,6,1,2,3,2,10,1,1
1,1,29,1620,20,6,7,2,15,3,1,1,1
1,1,95,400,23,6,3,14,52,1,1,1,1
1,2,43,830,14,6,1,17,33,1,1,1,1
1,2,63,1070,21,6,1,18,51,1,1,0,1
1,2,15,100,26,6,6,5,38,1,1,0,1
1,1,59,2690,26,6,6,21,3,2,10,0,1
1,2,71,2850,25,6,5,6,1,1,5,0,1
1,18,97,2100,2,7,5,13,40,1,1,0,1
1,2,73,1716,1,7,4,17,25,1,1,0,1
1,1,55,1280,2,5,7,0,22,3,1,1,1
1,2,89,1730,22,6,2,22,27,3,1,0,1
1,1,101,2130,7,7,3,22,18,3,1,0,1
1,3,99,1240,2,7,5,21,43,3,1,0,2
1,2,77,1865,7,7,3,14,8,1,1,0,1
1,4,117,2405,8,7,4,6,35,1,1,0,2
1,2,101,2130,28,7,3,3,12,3,1,1,1
1,2,73,1110,29,7,4,5,21,4,1,0,1
1,2,83,170,29,7,4,21,49,2,1,0,1
1,1,97,2550,23,7,5,13,58,1,1,1,1
1,3,125,3050,25,7,7,0,10,3,1,1,1
1,3,73,3125,28,7,3,9,10,1,10,0,1
1,2,15,100,19,7,1,8,10,1,10,0,1
1,1,73,1716,1,7,4,7,16,1,5,0,1
1,2,31,1030,1,7,4,0,55,3,1,0,1
1,2,73,350,14,6,1,1,15,2,1,0,1
1,3,127,1780,11,7,7,12,35,1,1,0,1
1,2,73,350,17,7,6,10,50,1,1,0,1
1,1,113,2440,19,7,1,19,30,1,1,0,1
1,2,101,2130,25,7,7,6,30,1,1,0,1
1,3,97,807,6,7,2,20,40,5,1,0,1
1,2,39,2350,1,8,7,12,20,1,1,0,1
1,1,73,350,26,7,1,2,15,2,1,0,1
1,2,95,1500,7,8,6,17,30,1,1,0,1
1,3,71,2850,7,8,6,10,54,1,1,0,2
1,1,69,930,4,8,3,14,24,1,1,0,1
1,1,117,350,5,8,4,5,35,1,1,0,1
1,1,97,2100,12,8,4,17,55,1,1,0,1
1,1,73,350,13,8,5,1,20,3,1,0,1
1,2,19,630,14,8,6,15,0,1,1,1,1
1,1,123,840,14,8,6,22,41,3,1,0,1
1,1,73,350,2,8,1,4,16,3,1,1,1
1,1,71,2850,14,8,6,7,27,1,1,1,1
1,1,101,2130,24,8,2,13,3,1,10,0,1
1,3,125,3050,22,8,7,2,22,2,10,1,1
1,2,21,1790,12,8,4,23,28,9,1,0,1
1,3,81,2812,13,8,5,9,21,1,1,1,1
1,4,125,2260,5,8,4,14,19,1,1,0,1
1,1,109,3040,23,8,1,20,54,3,1,0,1
1,2,101,2130,24,8,2,12,40,1,10,0,1
1,2,33,660,26,7,1,15,45,1,1,0,1
1,1,19,610,14,8,6,13,9,1,10,0,1
1,1,133,1953,31,8,2,10,30,1,10,0,1
1,2,71,2720,3,9,5,12,52,1,1,0,1
1,1,73,350,8,8,7,19,27,1,1,0,1
1,1,73,350,6,9,1,11,49,1,1,0,1
1,6,77,1200,1,8,7,15,39,1,1,0,1
1,1,131,540,29,8,7,21,15,2,10,1,1
1,2,73,350,4,9,6,21,13,3,1,0,1
1,2,73,350,7,9,2,15,45,1,1,0,1
1,1,97,670,19,8,4,22,2,3,1,0,1
1,1,69,930,28,8,6,22,35,2,1,0,1
1,2,43,830,29,8,7,18,18,1,2,0,1
1,1,113,2440,3,9,5,20,26,3,1,0,1
1,3,97,2100,5,9,7,1,7,3,10,1,1
1,2,129,2090,10,9,5,9,57,1,1,0,1
1,1,103,890,10,9,5,17,12,1,1,1,1
1,2,101,2130,13,9,1,23,5,3,1,1,1
1,2,113,2440,13,9,1,3,49,2,1,0,1
1,1,97,2550,14,9,2,0,47,2,1,1,1
1,1,117,530,14,9,2,1,18,2,1,0,1
1,1,89,1730,16,9,4,19,0,3,10,0,1
1,2,125,3050,19,9,7,0,44,3,1,1,1
1,3,73,1440,4,8,3,23,2,2,1,0,1
1,2,77,2832,3,7,6,21,28,2,1,1,2
1,2,53,470,18,8,3,14,49,1,1,0,1
1,3,77,1200,31,8,2,12,0,1,1,0,1
1,1,63,1070,19,9,7,21,45,2,1,0,1
1,2,125,3050,18,9,6,1,15,3,1,1,1
1,1,97,3278,20,9,1,22,10,2,1,0,1
1,4,73,350,24,9,5,14,40,1,1,0,1
1,1,117,1716,4,9,6,23,24,2,1,1,1
1,2,15,100,14,9,2,18,38,1,1,0,1
1,1,97,2100,23,9,4,19,15,3,1,0,1
1,2,73,350,24,9,5,11,9,1,1,0,1
1,2,41,1950,26,9,7,20,5,3,1,0,1
1,2,39,2350,30,9,4,19,12,3,1,0,1
1,1,3,1493,1,10,5,13,50,1,1,0,1
1,2,101,2130,2,10,6,8,53,1,2,0,1
1,1,89,1730,2,10,6,22,30,3,10,0,1
1,4,73,350,4,10,1,14,25,1,1,0,1
1,1,73,350,8,10,5,19,50,2,10,0,1
1,1,73,350,9,10,6,22,14,3,2,0,1
1,1,71,2720,9,10,6,11,40,1,1,0,1
1,3,117,530,9,10,6,17,24,1,1,0,1
1,1,117,2405,10,10,7,3,54,2,2,0,1
1,1,73,350,10,10,7,3,30,2,10,0,1
1,6,125,3050,11,10,1,0,58,2,1,1,1
1,3,101,2130,21,10,4,4,0,3,1,1,1
1,4,73,350,18,10,1,16,53,1,1,0,1
1,2,73,350,16,10,6,20,50,2,1,0,1
1,11,39,2350,21,10,4,7,10,1,1,0,1
1,3,97,2550,25,10,1,20,30,5,1,0,1
1,1,89,1730,26,10,2,5,47,3,2,0,1
1,2,71,1690,27,10,3,21,0,2,2,0,1
1,1,97,2100,30,10,6,23,5,3,10,0,1
1,7,113,2440,31,10,7,2,22,2,1,1,1
1,2,73,350,1,11,1,11,0,9,99,0,2
1,3,73,1270,4,11,4,11,45,1,10,0,1
1,1,73,330,12,11,5,12,48,1,1,0,1
1,1,43,830,9,11,2,18,15,2,2,0,1
1,1,73,1710,9,11,2,9,10,1,10,0,1
1,1,45,2380,9,11,2,17,20,2,2,0,1
1,1,89,1730,22,11,1,22,15,3,1,0,1
1,6,3,1210,10,11,3,19,30,2,1,0,1
1,1,115,2410,8,10,5,19,38,3,1,0,1
1,2,103,890,8,10,5,8,24,1,1,1,1
1,1,113,2440,11,10,1,15,47,1,1,0,1
1,3,51,3270,17,10,7,5,36,2,1,1,1
1,2,55,1280,17,10,7,23,51,3,1,0,1
1,2,33,2190,4,11,4,20,7,3,1,0,1
1,1,73,330,6,11,6,13,55,1,1,0,1
1,2,97,2100,7,11,7,17,50,2,2,0,1
1,1,25,1760,8,11,1,2,8,3,2,1,1
1,4,7,620,12,11,5,14,57,1,1,0,1
1,4,95,1430,15,11,1,10,3,1,1,1,1
1,1,71,2720,28,11,7,18,28,2,1,0,1
1,2,5,1050,20,11,6,21,8,2,1,0,1
1,1,3,1120,20,11,6,0,58,3,1,1,1
1,2,97,2550,27,11,6,17,42,3,1,0,1
1,2,81,2340,6,12,1,19,39,2,1,0,1
1,1,109,510,8,10,5,99,99,6,1,0,1
1,3,51,3270,18,11,4,15,37,1,2,0,1
1,1,73,350,1,12,3,19,47,3,2,0,1
1,1,73,350,4,12,6,17,39,3,1,0,1
1,1,97,2100,5,12,7,18,10,3,1,0,1
1,3,3,2890,5,12,7,17,20,2,1,0,1
1,1,101,2130,9,12,4,6,8,3,1,0,1
1,2,73,350,10,12,5,22,47,2,1,0,1
1,2,73,1716,9,12,4,0,53,2,1,1,1
1,6,73,330,19,12,7,23,42,2,1,0,1
1,2,101,2130,9,12,4,17,22,2,1,0,1
1,1,123,60,13,12,1,10,24,1,10,0,1
1,1,73,330,17,12,5,10,0,1,10,0,1
1,4,51,3270,16,12,4,13,15,1,2,0,1
1,1,73,350,21,12,2,16,20,3,2,0,1
1,2,49,1632,22,12,3,17,55,2,5,0,1
1,1,97,2100,23,12,4,3,10,3,2,1,1
1,2,73,350,23,12,4,10,22,1,1,0,1
1,1,119,1920,3,10,7,6,48,4,10,1,1
1,5,31,1030,16,12,4,7,40,1,10,0,3
1,1,89,1730,17,12,5,21,53,2,1,0,1
1,3,73,3125,19,12,7,11,8,1,1,0,1
1,1,97,2175,27,12,1,12,46,1,10,0,1
1,2,61,1340,29,12,3,7,24,1,10,0,1
1,1,89,1730,2,9,4,10,0,1,10,0,1
1,1,71,2720,26,10,2,13,50,1,2,0,1
1,1,93,1540,8,10,5,6,17,1,1,0,1
1,2,55,1280,28,10,4,16,4,1,1,0,1
1,4,109,510,11,11,4,18,16,3,10,0,1
1,2,71,2720,3,11,3,7,35,1,2,0,1
1,1,17,1820,25,12,6,20,0,6,1,0,1
1,2,83,170,13,10,3,15,57,1,10,0,1
1,1,83,170,7,11,7,21,58,2,1,1,1
1,1,83,170,6,9,1,20,30,3,1,0,1
1,4,83,170,11,8,3,12,55,1,1,0,1
1,1,53,470,2,12,4,8,0,1,10,0,1
2,1,170,2790,5,2,5,0,22,3,1,1,1
2,2,20,130,9,1,6,20,1,3,1,0,1
2,2,20,130,21,1,4,2,22,3,1,0,1
2,2,90,770,7,2,7,0,33,2,1,1,1
2,5,20,130,4,3,4,13,34,1,10,0,1
2,6,170,2000,12,3,5,18,6,1,1,0,1
2,2,170,0,22,3,1,21,1,2,1,1,1
2,1,20,130,27,3,6,10,38,1,1,0,1
2,5,20,130,3,4,6,16,35,1,1,0,2
2,1,170,2640,4,4,7,99,99,1,1,1,1
2,1,90,770,6,4,2,6,99,3,1,0,1
2,1,170,2790,19,4,1,17,1,1,10,1,1
2,1,20,130,19,4,1,4,30,3,2,1,1
2,1,170,2790,3,5,1,14,28,1,1,1,1
2,2,20,130,9,5,7,18,27,1,10,0,1
2,2,170,2000,16,5,7,14,54,1,1,0,1
2,1,16,2710,5,4,1,14,3,1,1,1,1
2,1,50,2725,2,5,7,14,45,1,1,1,1
2,4,20,130,27,5,4,20,17,1,1,1,1
2,1,290,2520,26,4,1,21,12,5,1,1,1
2,1,20,130,29,5,6,14,41,1,1,0,1
2,1,170,2640,23,5,7,8,30,1,10,0,1
2,1,90,770,11,6,5,1,31,1,1,1,1
2,1,90,770,13,6,7,23,14,1,1,1,1
2,1,20,130,19,6,6,23,30,1,10,0,1
2,1,122,120,17,6,4,16,2,1,1,0,1
2,6,20,850,3,7,6,19,8,1,1,1,1
2,5,20,130,3,7,6,1,4,3,1,1,1
2,1,20,2168,6,7,2,17,11,3,10,0,1
2,2,201,1313,20,6,7,5,14,1,10,0,1
2,5,170,2000,24,7,6,22,55,5,1,0,2
2,1,60,1700,25,7,7,4,16,2,10,0,1
2,1,20,130,31,7,6,1,38,3,1,0,1
2,3,90,770,25,7,7,21,26,5,1,0,1
2,18,20,850,31,7,6,12,18,1,1,0,1
2,4,122,2407,5,8,4,13,59,1,1,0,2
2,6,90,770,12,8,4,2,22,3,5,0,1
2,6,122,480,23,7,5,14,34,1,10,0,1
2,1,270,70,11,8,3,21,20,5,1,1,1
2,2,122,1815,29,8,7,15,3,1,1,0,1
2,1,20,130,6,9,1,0,9,3,10,1,1
2,3,20,130,21,9,2,21,33,2,1,0,1
2,1,20,130,2,10,6,23,25,3,2,0,1
2,3,20,130,29,9,3,14,29,1,12,0,1
2,1,90,470,4,10,1,18,25,1,10,1,1
2,1,90,770,8,7,4,0,40,1,1,1,1
2,2,240,2630,9,9,4,5,51,1,10,0,1
2,1,20,130,10,10,7,99,99,3,2,1,1
2,1,20,130,11,10,1,0,4,3,1,1,1
2,2,20,130,14,10,4,14,22,1,2,0,1
2,2,20,130,27,10,3,9,45,1,10,0,1
2,2,170,2790,19,11,5,9,12,1,4,0,1
2,2,20,130,25,11,4,18,54,3,10,1,1
2,3,170,2823,28,11,7,9,25,4,10,0,1
2,4,170,2790,1,12,3,20,55,2,1,0,3
2,1,270,70,5,12,7,99,99,6,4,1,1
2,1,90,810,22,12,3,17,23,2,1,0,1
2,1,20,130,24,12,5,17,6,3,1,0,1
2,2,50,270,14,11,7,18,50,2,4,0,1
2,2,122,1240,29,12,3,21,23,2,10,1,1
4,1,13,190,3,1,7,14,11,1,1,0,1
4,3,19,295,4,1,1,21,17,2,1,1,1
4,2,19,530,5,1,2,6,55,4,1,0,1
4,3,19,530,9,1,6,19,0,2,1,0,1
4,2,21,160,11,1,1,6,24,2,1,0,2
4,2,19,530,11,1,1,7,17,1,10,1,1
4,5,21,70,14,1,4,8,12,4,5,0,2
4,1,23,392,14,1,4,14,7,1,1,0,1
4,6,13,370,14,1,4,15,59,1,1,0,1
4,6,9,410,14,1,4,19,9,3,1,0,1
4,4,19,530,16,1,6,13,51,1,1,0,1
4,3,25,386,16,1,6,16,57,1,1,0,1
4,3,13,60,17,1,7,15,42,1,1,0,1
4,1,13,190,24,1,7,4,12,3,1,1,1
4,2,7,365,24,1,7,11,40,1,1,0,1
4,4,13,370,25,1,1,1,2,3,1,1,1
4,1,13,370,26,1,2,0,10,3,1,1,1
4,4,13,370,27,1,3,1,4,3,10,1,1
4,3,19,530,28,1,4,14,27,1,1,1,1
4,4,19,530,31,1,7,18,56,2,2,0,1
4,8,13,490,8,1,5,15,57,1,1,0,1
