i,ev
0,1382794.87813
1,790990.055721
2,257904.914678
3,117438.316822
4,55000.7832889
5,9595.92393747
6,1494.2218287
7,348.022323276
8,88.648833464
9,30.2736197183
10,11.3148317874
11,2.92017747513
12,0.000486965079655
13,-1.3086708484e-12
14,0.0
15,0.0
16,0.0
17,0.0
