i,ev
0,1340100.17113
1,791847.914568
2,217256.10038
3,130943.762298
4,42941.4710937
5,8250.51996168
6,1485.1977531
7,329.652975158
8,99.1908190508
9,38.5895161009
10,18.4990970367
11,1.0985384426
12,3.89607920207e-05
13,-1.85477176334e-11
14,0.0
15,0.0
16,0.0
17,0.0
