i,ev
1,3054048.332632325
2,2335297.317095493
3,1953973.509451002
4,1760182.480679208
5,1668106.7950049606
6,1614553.9487869125
7,1524779.0657182606
8,1449098.8184650904
9,1372699.6264287173
10,1334933.8640554543
