i,ev
0,1372018.50837
1,813892.072944
2,236116.645667
3,121722.834768
4,46665.7666117
5,9042.93237939
6,1222.03996159
7,385.986294234
8,87.4609412242
9,33.037054914
10,15.878208796
11,3.36295469465
12,-6.2995476755e-13
13,5.78951208934e-05
14,0.0
15,0.0
16,0.0
17,0.0
