i,ev
0,1340360.27596
1,825771.018715
2,248716.540507
3,204131.360157
4,75490.8624694
5,15839.5251378
6,1951.54470076
7,353.487908362
8,81.510118229
9,32.1983545081
10,14.8760675193
11,1.62399828942
12,2.75765331794e-12
13,9.00381760425e-05
14,0.0
15,0.0
16,0.0
17,0.0
